Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,NULL,NULL,DOTHAN,AL,36302,HOUSTON,3347938701,14.9,No Different than U.S. National Rate,12.6,17.6,  669,, 8.9,Better than U.S. National Rate,7.3,10.8,  794,, 8.2,Better than U.S. National Rate,6.3,10.6,  408,,20.8,No Different than U.S. National Rate,18.4,23.5,  756,,23.0,No Different than U.S. National Rate,20.8,25.6, 1030,,17.3,No Different than U.S. National Rate,14.7,20.6,  441,
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,NULL,NULL,BOAZ,AL,35957,MARSHALL,2565938310,19.2,No Different than U.S. National Rate,15.4,23.5,   57,,12.6,No Different than U.S. National Rate,9.9,16.0,  248,,11.8,No Different than U.S. National Rate,9.4,14.7,  375,,19.3,No Different than U.S. National Rate,15.5,23.6,   31,,23.5,No Different than U.S. National Rate,20.0,27.1,  275,,20.1,No Different than U.S. National Rate,17.2,23.1,  387,
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,NULL,NULL,FLORENCE,AL,35631,LAUDERDALE,2567688400,15.2,No Different than U.S. National Rate,12.0,18.7,  329,,10.3,No Different than U.S. National Rate,8.2,12.6,  599,,11.5,No Different than U.S. National Rate,9.6,13.5,  966,,17.2,No Different than U.S. National Rate,14.5,20.6,  345,,22.9,No Different than U.S. National Rate,20.3,25.9,  718,,18.1,No Different than U.S. National Rate,16.0,20.6,  990,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,NULL,NULL,OPP,AL,36467,COVINGTON,3344933541,14.8,No Different than U.S. National Rate,10.7,20.3,   27,,12.4,No Different than U.S. National Rate,9.4,16.3,  160,,13.4,No Different than U.S. National Rate,10.4,17.4,  226,,NULL,Number of Cases Too Small,NULL,NULL,    8,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,26.1,No Different than U.S. National Rate,22.0,30.7,  195,,20.6,No Different than U.S. National Rate,17.2,24.6,  237,
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,NULL,NULL,LUVERNE,AL,36049,CRENSHAW,3343353374,NULL,Number of Cases Too Small,NULL,NULL,   14,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,13.0,No Different than U.S. National Rate,9.5,17.4,   69,,14.4,No Different than U.S. National Rate,10.4,19.3,  103,,NULL,Number of Cases Too Small,NULL,NULL,    7,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.1,No Different than U.S. National Rate,20.3,30.4,   85,,19.4,No Different than U.S. National Rate,15.4,24.0,   97,
010009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,NULL,NULL,HARTSELLE,AL,35640,MORGAN,2567736511,16.3,No Different than U.S. National Rate,12.3,20.5,   25,,10.5,No Different than U.S. National Rate,7.5,14.0,  117,,10.7,No Different than U.S. National Rate,7.6,14.5,  143,,NULL,Number of Cases Too Small,NULL,NULL,   15,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.5,No Different than U.S. National Rate,20.2,29.4,  138,,17.0,No Different than U.S. National Rate,13.6,20.8,  159,
010010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,NULL,NULL,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,14.9,No Different than U.S. National Rate,11.5,18.9,   35,,13.1,No Different than U.S. National Rate,10.3,16.5,  163,, 9.8,No Different than U.S. National Rate,7.7,12.4,  286,,NULL,Number of Cases Too Small,NULL,NULL,   23,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.6,No Different than U.S. National Rate,21.4,30.0,  167,,17.6,No Different than U.S. National Rate,14.7,21.0,  296,
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,NULL,NULL,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,15.1,No Different than U.S. National Rate,11.9,18.8,  258,,12.5,No Different than U.S. National Rate,9.8,15.7,  350,,12.6,No Different than U.S. National Rate,10.1,15.6,  452,,21.8,No Different than U.S. National Rate,18.3,25.6,  265,,22.9,No Different than U.S. National Rate,19.8,26.3,  416,,18.4,No Different than U.S. National Rate,15.7,21.4,  466,
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,NULL,NULL,FORT PAYNE,AL,35968,DE KALB,2568453150,18.8,No Different than U.S. National Rate,14.8,23.6,   74,,14.1,No Different than U.S. National Rate,10.6,18.5,  166,,11.8,No Different than U.S. National Rate,8.7,15.7,  219,,20.9,No Different than U.S. National Rate,17.0,25.2,   51,,24.8,No Different than U.S. National Rate,20.9,29.3,  211,,17.1,No Different than U.S. National Rate,13.9,21.0,  223,
010015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,NULL,NULL,THOMASVILLE,AL,36784,CLARKE,3346366221,NULL,Number of Cases Too Small,NULL,NULL,    7,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>, 9.5,No Different than U.S. National Rate,6.7,12.9,  119,,10.9,No Different than U.S. National Rate,7.6,15.3,   81,,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.7,No Different than U.S. National Rate,19.6,28.3,  168,,18.6,No Different than U.S. National Rate,14.7,23.2,   92,
