num,name,address1,address2,address3,city,state,zip,county,phone
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,NULL,NULL,DOTHAN,AL,36302,HOUSTON,3347938701
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,NULL,NULL,BOAZ,AL,35957,MARSHALL,2565938310
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,NULL,NULL,FLORENCE,AL,35631,LAUDERDALE,2567688400
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,NULL,NULL,OPP,AL,36467,COVINGTON,3344933541
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,NULL,NULL,LUVERNE,AL,36049,CRENSHAW,3343353374
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,NULL,NULL,HARTSELLE,AL,35640,MORGAN,2567736511
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,NULL,NULL,GUNTERSVILLE,AL,35976,MARSHALL,2565718000
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,NULL,NULL,BIRMINGHAM,AL,35235,JEFFERSON,2058383122
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,NULL,NULL,FORT PAYNE,AL,35968,DE KALB,2568453150
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,NULL,NULL,THOMASVILLE,AL,36784,CLARKE,3346366221
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,NULL,NULL,ALABASTER,AL,35007,SHELBY,2056208100
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,NULL,NULL,BIRMINGHAM,AL,35233,JEFFERSON,2053258100
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,NULL,NULL,SHEFFIELD,AL,35660,COLBERT,2563864556
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,NULL,NULL,OZARK,AL,36360,DALE,3347742601
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,NULL,NULL,CENTRE,AL,35960,CHEROKEE,2569275531
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,NULL,NULL,MONTGOMERY,AL,36116,MONTGOMERY,3342882100
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,NULL,NULL,MONTGOMERY,AL,36106,MONTGOMERY,3342938000
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,NULL,NULL,VALLEY,AL,36854,CHAMBERS,3347561400
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,NULL,NULL,ELBA,AL,36323,COFFEE,3348972257
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,NULL,NULL,OPELIKA,AL,36801,LEE,3347493411
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,NULL,NULL,WEDOWEE,AL,36278,RANDOLPH,2563572111
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,NULL,NULL,BIRMINGHAM,AL,35233,JEFFERSON,2059344011
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,NULL,NULL,TALLASSEE,AL,36078,ELMORE,3342836541
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,NULL,NULL,CULLMAN,AL,35058,CULLMAN,2567372000
